Site,Year,Month,Day,Value
Beijing,2012,201201,20120101,72
Guangzhou,2012,201201,20120101,77
Shanghai,2012,201201,20120101,111
Beijing,2012,201201,20120102,63
Guangzhou,2012,201201,20120102,99
Shanghai,2012,201201,20120102,51
Beijing,2012,201201,20120103,15
Guangzhou,2012,201201,20120103,90
Shanghai,2012,201201,20120103,81
Beijing,2012,201201,20120104,34
Guangzhou,2012,201201,20120104,19
Shanghai,2012,201201,20120104,71
Beijing,2012,201201,20120105,117
Shanghai,2012,201201,20120105,52
Beijing,2012,201201,20120106,114
Shanghai,2012,201201,20120106,43
Beijing,2012,201201,20120107,118
Shanghai,2012,201201,20120107,41
Beijing,2012,201201,20120108,170
Shanghai,2012,201201,20120108,27
Beijing,2012,201201,20120109,177
Shanghai,2012,201201,20120109,50
Beijing,2012,201201,20120110,232
Shanghai,2012,201201,20120110,89
Beijing,2012,201201,20120111,56
Shanghai,2012,201201,20120111,138
Beijing,2012,201201,20120112,154
Shanghai,2012,201201,20120112,46
Beijing,2012,201201,20120113,61
Shanghai,2012,201201,20120113,85
Beijing,2012,201201,20120114,87
Shanghai,2012,201201,20120114,66
Shanghai,2012,201201,20120115,35
Shanghai,2012,201201,20120116,21
Beijing,2012,201201,20120117,328
Shanghai,2012,201201,20120117,30
Beijing,2012,201201,20120118,402
Shanghai,2012,201201,20120118,36
Beijing,2012,201201,20120119,429
Shanghai,2012,201201,20120119,123
Beijing,2012,201201,20120120,39
Shanghai,2012,201201,20120120,131
Beijing,2012,201201,20120121,16
Shanghai,2012,201201,20120121,56
Beijing,2012,201201,20120122,57
Shanghai,2012,201201,20120122,38
Beijing,2012,201201,20120123,194
Shanghai,2012,201201,20120123,72
Beijing,2012,201201,20120124,19
Shanghai,2012,201201,20120124,67
Beijing,2012,201201,20120125,67
Shanghai,2012,201201,20120125,122
Beijing,2012,201201,20120126,107
Shanghai,2012,201201,20120126,47
Beijing,2012,201201,20120127,72
Shanghai,2012,201201,20120127,62
Beijing,2012,201201,20120128,91
Shanghai,2012,201201,20120128,38
Beijing,2012,201201,20120129,43
Shanghai,2012,201201,20120129,36
Beijing,2012,201201,20120130,120
Shanghai,2012,201201,20120130,56
Beijing,2012,201201,20120131,72
Shanghai,2012,201201,20120131,74
Beijing,2012,201202,20120201,19
Shanghai,2012,201202,20120201,60
Beijing,2012,201202,20120202,30
Shanghai,2012,201202,20120202,29
Beijing,2012,201202,20120203,69
Shanghai,2012,201202,20120203,40
Beijing,2012,201202,20120204,40
Shanghai,2012,201202,20120204,38
Beijing,2012,201202,20120205,134
Shanghai,2012,201202,20120205,65
Beijing,2012,201202,20120206,76
Shanghai,2012,201202,20120206,46
Beijing,2012,201202,20120207,12
Shanghai,2012,201202,20120207,66
Beijing,2012,201202,20120208,15
Shanghai,2012,201202,20120208,46
Beijing,2012,201202,20120209,47
Shanghai,2012,201202,20120209,72
Beijing,2012,201202,20120210,29
Shanghai,2012,201202,20120210,76
Beijing,2012,201202,20120211,92
Shanghai,2012,201202,20120211,100
Beijing,2012,201202,20120212,106
Shanghai,2012,201202,20120212,24
Beijing,2012,201202,20120213,212
Shanghai,2012,201202,20120213,90
Beijing,2012,201202,20120214,100
Shanghai,2012,201202,20120214,76
Beijing,2012,201202,20120215,109
Shanghai,2012,201202,20120215,37
Beijing,2012,201202,20120216,14
Shanghai,2012,201202,20120216,26
Beijing,2012,201202,20120217,14
Shanghai,2012,201202,20120217,53
Beijing,2012,201202,20120218,36
Shanghai,2012,201202,20120218,37
Beijing,2012,201202,20120219,68
Shanghai,2012,201202,20120219,57
Beijing,2012,201202,20120220,146
Shanghai,2012,201202,20120220,81
Beijing,2012,201202,20120221,119
Shanghai,2012,201202,20120221,79
Beijing,2012,201202,20120222,163
Shanghai,2012,201202,20120222,38
Beijing,2012,201202,20120223,26
Shanghai,2012,201202,20120223,86
Beijing,2012,201202,20120224,93
Shanghai,2012,201202,20120224,71
Beijing,2012,201202,20120225,25
Shanghai,2012,201202,20120225,39
Beijing,2012,201202,20120226,62
Shanghai,2012,201202,20120226,23
Beijing,2012,201202,20120227,195
Shanghai,2012,201202,20120227,24
Beijing,2012,201202,20120228,205
Shanghai,2012,201202,20120228,27
Beijing,2012,201202,20120229,229
Shanghai,2012,201202,20120229,35
Beijing,2012,201203,20120301,251
Shanghai,2012,201203,20120301,86
Beijing,2012,201203,20120302,121
Shanghai,2012,201203,20120302,94
Beijing,2012,201203,20120303,93
Shanghai,2012,201203,20120303,61
Beijing,2012,201203,20120304,132
Shanghai,2012,201203,20120304,67
Beijing,2012,201203,20120305,165
Shanghai,2012,201203,20120305,81
Beijing,2012,201203,20120306,22
Shanghai,2012,201203,20120306,191
Beijing,2012,201203,20120307,18
Shanghai,2012,201203,20120307,118
Beijing,2012,201203,20120308,18
Shanghai,2012,201203,20120308,51
Beijing,2012,201203,20120309,93
Shanghai,2012,201203,20120309,27
Beijing,2012,201203,20120310,36
Shanghai,2012,201203,20120310,47
Beijing,2012,201203,20120311,24
Shanghai,2012,201203,20120311,91
Beijing,2012,201203,20120312,73
Shanghai,2012,201203,20120312,26
Beijing,2012,201203,20120313,112
Shanghai,2012,201203,20120313,31
Beijing,2012,201203,20120314,33
Shanghai,2012,201203,20120314,33
Beijing,2012,201203,20120315,101
Guangzhou,2012,201203,20120315,3
Shanghai,2012,201203,20120315,51
Beijing,2012,201203,20120316,274
Guangzhou,2012,201203,20120316,2
Shanghai,2012,201203,20120316,60
Beijing,2012,201203,20120317,196
Guangzhou,2012,201203,20120317,3
Shanghai,2012,201203,20120317,127
Beijing,2012,201203,20120318,42
Guangzhou,2012,201203,20120318,3
Shanghai,2012,201203,20120318,96
Beijing,2012,201203,20120319,102
Guangzhou,2012,201203,20120319,3
Shanghai,2012,201203,20120319,41
Beijing,2012,201203,20120320,136
Guangzhou,2012,201203,20120320,2
Shanghai,2012,201203,20120320,31
Beijing,2012,201203,20120321,284
Guangzhou,2012,201203,20120321,2
Shanghai,2012,201203,20120321,38
Beijing,2012,201203,20120322,157
Guangzhou,2012,201203,20120322,3
Shanghai,2012,201203,20120322,48
Beijing,2012,201203,20120323,31
Guangzhou,2012,201203,20120323,2
Shanghai,2012,201203,20120323,69
Beijing,2012,201203,20120324,19
Guangzhou,2012,201203,20120324,2
Shanghai,2012,201203,20120324,57
Beijing,2012,201203,20120325,44
Guangzhou,2012,201203,20120325,2
Shanghai,2012,201203,20120325,68
Beijing,2012,201203,20120326,160
Guangzhou,2012,201203,20120326,2
Shanghai,2012,201203,20120326,48
Beijing,2012,201203,20120327,110
Guangzhou,2012,201203,20120327,2
Shanghai,2012,201203,20120327,77
Beijing,2012,201203,20120328,46
Guangzhou,2012,201203,20120328,2
Shanghai,2012,201203,20120328,83
Beijing,2012,201203,20120329,46
Guangzhou,2012,201203,20120329,2
Shanghai,2012,201203,20120329,54
Beijing,2012,201203,20120330,17
Guangzhou,2012,201203,20120330,16
Shanghai,2012,201203,20120330,75
Beijing,2012,201203,20120331,26
Guangzhou,2012,201203,20120331,29
Shanghai,2012,201203,20120331,58
Beijing,2012,201204,20120401,57
Guangzhou,2012,201204,20120401,64
Shanghai,2012,201204,20120401,67
Beijing,2012,201204,20120402,42
Guangzhou,2012,201204,20120402,44
Shanghai,2012,201204,20120402,51
Beijing,2012,201204,20120403,22
Guangzhou,2012,201204,20120403,22
Shanghai,2012,201204,20120403,65
Beijing,2012,201204,20120404,17
Guangzhou,2012,201204,20120404,16
Shanghai,2012,201204,20120404,79
Beijing,2012,201204,20120405,16
Guangzhou,2012,201204,20120405,15
Shanghai,2012,201204,20120405,69
Beijing,2012,201204,20120406,30
Guangzhou,2012,201204,20120406,43
Shanghai,2012,201204,20120406,44
Beijing,2012,201204,20120407,80
Guangzhou,2012,201204,20120407,83
Shanghai,2012,201204,20120407,37
Beijing,2012,201204,20120408,50
Guangzhou,2012,201204,20120408,51
Shanghai,2012,201204,20120408,53
Beijing,2012,201204,20120409,124
Guangzhou,2012,201204,20120409,127
Shanghai,2012,201204,20120409,31
Beijing,2012,201204,20120410,62
Guangzhou,2012,201204,20120410,82
Shanghai,2012,201204,20120410,55
Beijing,2012,201204,20120411,20
Guangzhou,2012,201204,20120411,33
Shanghai,2012,201204,20120411,64
Beijing,2012,201204,20120412,32
Guangzhou,2012,201204,20120412,36
Shanghai,2012,201204,20120412,42
Beijing,2012,201204,20120413,54
Guangzhou,2012,201204,20120413,57
Shanghai,2012,201204,20120413,45
Beijing,2012,201204,20120414,60
Guangzhou,2012,201204,20120414,63
Shanghai,2012,201204,20120414,75
Beijing,2012,201204,20120415,74
Guangzhou,2012,201204,20120415,92
Shanghai,2012,201204,20120415,51
Beijing,2012,201204,20120416,33
Guangzhou,2012,201204,20120416,35
Shanghai,2012,201204,20120416,77
Beijing,2012,201204,20120417,122
Guangzhou,2012,201204,20120417,138
Shanghai,2012,201204,20120417,69
Beijing,2012,201204,20120418,156
Guangzhou,2012,201204,20120418,168
Beijing,2012,201204,20120419,116
Guangzhou,2012,201204,20120419,122
Beijing,2012,201204,20120420,144
Guangzhou,2012,201204,20120420,154
Shanghai,2012,201204,20120420,77
Beijing,2012,201204,20120421,168
Guangzhou,2012,201204,20120421,179
Shanghai,2012,201204,20120421,58
Beijing,2012,201204,20120422,170
Guangzhou,2012,201204,20120422,188
Shanghai,2012,201204,20120422,64
Beijing,2012,201204,20120423,249
Guangzhou,2012,201204,20120423,269
Shanghai,2012,201204,20120423,57
Beijing,2012,201204,20120424,92
Guangzhou,2012,201204,20120424,98
Shanghai,2012,201204,20120424,38
Beijing,2012,201204,20120425,21
Guangzhou,2012,201204,20120425,33
Shanghai,2012,201204,20120425,54
Beijing,2012,201204,20120426,78
Guangzhou,2012,201204,20120426,88
Shanghai,2012,201204,20120426,59
Beijing,2012,201204,20120427,74
Guangzhou,2012,201204,20120427,108
Shanghai,2012,201204,20120427,53
Beijing,2012,201204,20120428,117
Guangzhou,2012,201204,20120428,157
Shanghai,2012,201204,20120428,35
Beijing,2012,201204,20120429,176
Guangzhou,2012,201204,20120429,215
Shanghai,2012,201204,20120429,33
Beijing,2012,201204,20120430,180
Guangzhou,2012,201204,20120430,185
Shanghai,2012,201204,20120430,35
Beijing,2012,201205,20120501,176
Guangzhou,2012,201205,20120501,184
Shanghai,2012,201205,20120501,40
Beijing,2012,201205,20120502,101
Guangzhou,2012,201205,20120502,105
Shanghai,2012,201205,20120502,60
Beijing,2012,201205,20120503,70
Guangzhou,2012,201205,20120503,82
Shanghai,2012,201205,20120503,92
Beijing,2012,201205,20120504,116
Guangzhou,2012,201205,20120504,115
Shanghai,2012,201205,20120504,133
Beijing,2012,201205,20120505,97
Guangzhou,2012,201205,20120505,73
Beijing,2012,201205,20120506,106
Guangzhou,2012,201205,20120506,102
Beijing,2012,201205,20120507,88
Guangzhou,2012,201205,20120507,88
Beijing,2012,201205,20120508,84
Guangzhou,2012,201205,20120508,98
Shanghai,2012,201205,20120508,61
Beijing,2012,201205,20120509,114
Guangzhou,2012,201205,20120509,116
Shanghai,2012,201205,20120509,30
Beijing,2012,201205,20120510,181
Guangzhou,2012,201205,20120510,180
Shanghai,2012,201205,20120510,50
Beijing,2012,201205,20120511,153
Guangzhou,2012,201205,20120511,168
Shanghai,2012,201205,20120511,69
Beijing,2012,201205,20120512,105
Guangzhou,2012,201205,20120512,118
Shanghai,2012,201205,20120512,63
Beijing,2012,201205,20120513,135
Guangzhou,2012,201205,20120513,144
Shanghai,2012,201205,20120513,33
Beijing,2012,201205,20120514,44
Chengdu,2012,201205,20120514,46
Guangzhou,2012,201205,20120514,58
Shanghai,2012,201205,20120514,56
Beijing,2012,201205,20120515,34
Guangzhou,2012,201205,20120515,62
Shanghai,2012,201205,20120515,112
Beijing,2012,201205,20120516,28
Shanghai,2012,201205,20120516,103
Beijing,2012,201205,20120517,56
Shanghai,2012,201205,20120517,61
Beijing,2012,201205,20120518,97
Shanghai,2012,201205,20120518,65
Beijing,2012,201205,20120519,156
Shanghai,2012,201205,20120519,48
Shanghai,2012,201205,20120520,28
Beijing,2012,201205,20120521,147
Shanghai,2012,201205,20120521,46
Beijing,2012,201205,20120522,88
Guangzhou,2012,201205,20120522,35
Shanghai,2012,201205,20120522,35
Beijing,2012,201205,20120523,30
Guangzhou,2012,201205,20120523,39
Shanghai,2012,201205,20120523,44
Beijing,2012,201205,20120524,36
Guangzhou,2012,201205,20120524,29
Shanghai,2012,201205,20120524,38
Beijing,2012,201205,20120525,55
Guangzhou,2012,201205,20120525,37
Shanghai,2012,201205,20120525,29
Beijing,2012,201205,20120526,79
Guangzhou,2012,201205,20120526,40
Shanghai,2012,201205,20120526,41
Beijing,2012,201205,20120527,117
Guangzhou,2012,201205,20120527,48
Shanghai,2012,201205,20120527,64
Beijing,2012,201205,20120528,127
Guangzhou,2012,201205,20120528,37
Shanghai,2012,201205,20120528,57
Beijing,2012,201205,20120529,67
Guangzhou,2012,201205,20120529,37
Shanghai,2012,201205,20120529,51
Beijing,2012,201205,20120530,16
Guangzhou,2012,201205,20120530,43
Shanghai,2012,201205,20120530,19
Beijing,2012,201205,20120531,65
Guangzhou,2012,201205,20120531,33
Shanghai,2012,201205,20120531,30
Beijing,2012,201206,20120601,80
Guangzhou,2012,201206,20120601,51
Shanghai,2012,201206,20120601,46
Beijing,2012,201206,20120602,127
Guangzhou,2012,201206,20120602,44
Shanghai,2012,201206,20120602,38
Beijing,2012,201206,20120603,164
Guangzhou,2012,201206,20120603,47
Shanghai,2012,201206,20120603,39
Beijing,2012,201206,20120604,113
Chengdu,2012,201206,20120604,69
Guangzhou,2012,201206,20120604,41
Shanghai,2012,201206,20120604,34
Beijing,2012,201206,20120605,65
Chengdu,2012,201206,20120605,89
Guangzhou,2012,201206,20120605,52
Shanghai,2012,201206,20120605,13
Beijing,2012,201206,20120606,143
Chengdu,2012,201206,20120606,101
Guangzhou,2012,201206,20120606,30
Shanghai,2012,201206,20120606,22
Beijing,2012,201206,20120607,63
Chengdu,2012,201206,20120607,42
Guangzhou,2012,201206,20120607,37
Shanghai,2012,201206,20120607,55
Beijing,2012,201206,20120608,76
Chengdu,2012,201206,20120608,11
Guangzhou,2012,201206,20120608,40
Shanghai,2012,201206,20120608,110
Beijing,2012,201206,20120609,111
Chengdu,2012,201206,20120609,6
Guangzhou,2012,201206,20120609,29
Shanghai,2012,201206,20120609,127
Beijing,2012,201206,20120610,12
Chengdu,2012,201206,20120610,9
Guangzhou,2012,201206,20120610,27
Shanghai,2012,201206,20120610,100
Beijing,2012,201206,20120611,30
Chengdu,2012,201206,20120611,7
Guangzhou,2012,201206,20120611,25
Shanghai,2012,201206,20120611,54
Beijing,2012,201206,20120612,20
Guangzhou,2012,201206,20120612,43
Shanghai,2012,201206,20120612,56
Beijing,2012,201206,20120613,70
Guangzhou,2012,201206,20120613,52
Shanghai,2012,201206,20120613,58
Beijing,2012,201206,20120614,10
Guangzhou,2012,201206,20120614,67
Shanghai,2012,201206,20120614,37
Beijing,2012,201206,20120615,11
Guangzhou,2012,201206,20120615,79
Shanghai,2012,201206,20120615,21
Beijing,2012,201206,20120616,25
Guangzhou,2012,201206,20120616,34
Shanghai,2012,201206,20120616,26
Beijing,2012,201206,20120617,79
Guangzhou,2012,201206,20120617,20
Shanghai,2012,201206,20120617,21
Beijing,2012,201206,20120618,181
Guangzhou,2012,201206,20120618,18
Shanghai,2012,201206,20120618,15
Beijing,2012,201206,20120619,184
Guangzhou,2012,201206,20120619,17
Shanghai,2012,201206,20120619,15
Beijing,2012,201206,20120620,177
Guangzhou,2012,201206,20120620,41
Shanghai,2012,201206,20120620,18
Beijing,2012,201206,20120621,183
Guangzhou,2012,201206,20120621,37
Shanghai,2012,201206,20120621,21
Beijing,2012,201206,20120622,106
Guangzhou,2012,201206,20120622,26
Shanghai,2012,201206,20120622,30
Beijing,2012,201206,20120623,168
Guangzhou,2012,201206,20120623,20
Shanghai,2012,201206,20120623,10
Beijing,2012,201206,20120624,159
Chengdu,2012,201206,20120624,42
Guangzhou,2012,201206,20120624,22
Shanghai,2012,201206,20120624,71
Beijing,2012,201206,20120625,90
Chengdu,2012,201206,20120625,37
Guangzhou,2012,201206,20120625,29
Shanghai,2012,201206,20120625,46
Beijing,2012,201206,20120626,109
Chengdu,2012,201206,20120626,43
Guangzhou,2012,201206,20120626,27
Shanghai,2012,201206,20120626,13
Beijing,2012,201206,20120627,68
Chengdu,2012,201206,20120627,41
Guangzhou,2012,201206,20120627,22
Shanghai,2012,201206,20120627,17
Beijing,2012,201206,20120628,117
Chengdu,2012,201206,20120628,86
Guangzhou,2012,201206,20120628,29
Shanghai,2012,201206,20120628,32
Beijing,2012,201206,20120629,83
Chengdu,2012,201206,20120629,45
Guangzhou,2012,201206,20120629,50
Shanghai,2012,201206,20120629,9
Beijing,2012,201206,20120630,69
Chengdu,2012,201206,20120630,41
Guangzhou,2012,201206,20120630,11
Shanghai,2012,201206,20120630,50
Beijing,2012,201207,20120701,138
Chengdu,2012,201207,20120701,48
Guangzhou,2012,201207,20120701,17
Shanghai,2012,201207,20120701,51
Beijing,2012,201207,20120702,35
Chengdu,2012,201207,20120702,65
Guangzhou,2012,201207,20120702,17
Shanghai,2012,201207,20120702,34
Beijing,2012,201207,20120703,37
Chengdu,2012,201207,20120703,42
Guangzhou,2012,201207,20120703,18
Shanghai,2012,201207,20120703,30
Beijing,2012,201207,20120704,86
Chengdu,2012,201207,20120704,30
Guangzhou,2012,201207,20120704,20
Shanghai,2012,201207,20120704,38
Beijing,2012,201207,20120705,95
Chengdu,2012,201207,20120705,39
Guangzhou,2012,201207,20120705,23
Shanghai,2012,201207,20120705,21
Beijing,2012,201207,20120706,125
Chengdu,2012,201207,20120706,55
Guangzhou,2012,201207,20120706,19
Shanghai,2012,201207,20120706,33
Beijing,2012,201207,20120707,162
Chengdu,2012,201207,20120707,61
Guangzhou,2012,201207,20120707,20
Shanghai,2012,201207,20120707,30
Beijing,2012,201207,20120708,143
Chengdu,2012,201207,20120708,48
Guangzhou,2012,201207,20120708,14
Shanghai,2012,201207,20120708,36
Beijing,2012,201207,20120709,95
Chengdu,2012,201207,20120709,42
Guangzhou,2012,201207,20120709,15
Shanghai,2012,201207,20120709,48
Beijing,2012,201207,20120710,46
Chengdu,2012,201207,20120710,36
Guangzhou,2012,201207,20120710,21
Shanghai,2012,201207,20120710,42
Beijing,2012,201207,20120711,64
Chengdu,2012,201207,20120711,68
Guangzhou,2012,201207,20120711,19
Shanghai,2012,201207,20120711,50
Beijing,2012,201207,20120712,24
Chengdu,2012,201207,20120712,74
Guangzhou,2012,201207,20120712,16
Shanghai,2012,201207,20120712,62
Beijing,2012,201207,20120713,26
Chengdu,2012,201207,20120713,77
Guangzhou,2012,201207,20120713,20
Shanghai,2012,201207,20120713,40
Beijing,2012,201207,20120714,32
Chengdu,2012,201207,20120714,73
Guangzhou,2012,201207,20120714,24
Shanghai,2012,201207,20120714,40
Beijing,2012,201207,20120715,41
Chengdu,2012,201207,20120715,64
Guangzhou,2012,201207,20120715,21
Shanghai,2012,201207,20120715,34
Beijing,2012,201207,20120716,76
Chengdu,2012,201207,20120716,56
Guangzhou,2012,201207,20120716,25
Shanghai,2012,201207,20120716,23
Beijing,2012,201207,20120717,83
Chengdu,2012,201207,20120717,49
Guangzhou,2012,201207,20120717,24
Shanghai,2012,201207,20120717,20
Beijing,2012,201207,20120718,87
Chengdu,2012,201207,20120718,59
Guangzhou,2012,201207,20120718,23
Shanghai,2012,201207,20120718,44
Beijing,2012,201207,20120719,125
Chengdu,2012,201207,20120719,91
Guangzhou,2012,201207,20120719,34
Shanghai,2012,201207,20120719,70
Beijing,2012,201207,20120720,202
Chengdu,2012,201207,20120720,101
Guangzhou,2012,201207,20120720,54
Shanghai,2012,201207,20120720,32
Beijing,2012,201207,20120721,163
Chengdu,2012,201207,20120721,54
Guangzhou,2012,201207,20120721,68
Shanghai,2012,201207,20120721,5
Beijing,2012,201207,20120722,16
Chengdu,2012,201207,20120722,32
Guangzhou,2012,201207,20120722,26
Shanghai,2012,201207,20120722,4
Beijing,2012,201207,20120723,32
Chengdu,2012,201207,20120723,57
Guangzhou,2012,201207,20120723,10
Shanghai,2012,201207,20120723,4
Beijing,2012,201207,20120724,70
Chengdu,2012,201207,20120724,70
Guangzhou,2012,201207,20120724,14
Shanghai,2012,201207,20120724,3
Beijing,2012,201207,20120725,83
Chengdu,2012,201207,20120725,64
Guangzhou,2012,201207,20120725,20
Shanghai,2012,201207,20120725,4
Beijing,2012,201207,20120726,56
Chengdu,2012,201207,20120726,65
Guangzhou,2012,201207,20120726,27
Shanghai,2012,201207,20120726,3
Beijing,2012,201207,20120727,82
Chengdu,2012,201207,20120727,60
Guangzhou,2012,201207,20120727,32
Shanghai,2012,201207,20120727,4
Beijing,2012,201207,20120728,107
Chengdu,2012,201207,20120728,58
Guangzhou,2012,201207,20120728,39
Shanghai,2012,201207,20120728,5
Chengdu,2012,201207,20120729,53
Guangzhou,2012,201207,20120729,97
Shanghai,2012,201207,20120729,4
Beijing,2012,201207,20120730,55
Chengdu,2012,201207,20120730,76
Guangzhou,2012,201207,20120730,63
Shanghai,2012,201207,20120730,4
Beijing,2012,201207,20120731,25
Chengdu,2012,201207,20120731,59
Guangzhou,2012,201207,20120731,79
Shanghai,2012,201207,20120731,4
Beijing,2012,201208,20120801,13
Chengdu,2012,201208,20120801,37
Guangzhou,2012,201208,20120801,75
Shanghai,2012,201208,20120801,13
Beijing,2012,201208,20120802,21
Chengdu,2012,201208,20120802,55
Guangzhou,2012,201208,20120802,54
Shanghai,2012,201208,20120802,13
Beijing,2012,201208,20120803,55
Chengdu,2012,201208,20120803,69
Guangzhou,2012,201208,20120803,93
Shanghai,2012,201208,20120803,10
Beijing,2012,201208,20120804,25
Guangzhou,2012,201208,20120804,91
Shanghai,2012,201208,20120804,5
Beijing,2012,201208,20120805,49
Guangzhou,2012,201208,20120805,81
Shanghai,2012,201208,20120805,12
Beijing,2012,201208,20120806,64
Guangzhou,2012,201208,20120806,53
Shanghai,2012,201208,20120806,16
Beijing,2012,201208,20120807,68
Chengdu,2012,201208,20120807,58
Guangzhou,2012,201208,20120807,84
Shanghai,2012,201208,20120807,11
Beijing,2012,201208,20120808,75
Chengdu,2012,201208,20120808,91
Guangzhou,2012,201208,20120808,58
Shanghai,2012,201208,20120808,5
Beijing,2012,201208,20120809,38
Chengdu,2012,201208,20120809,59
Guangzhou,2012,201208,20120809,75
Shanghai,2012,201208,20120809,21
Beijing,2012,201208,20120810,79
Chengdu,2012,201208,20120810,95
Guangzhou,2012,201208,20120810,49
Shanghai,2012,201208,20120810,24
Beijing,2012,201208,20120811,109
Chengdu,2012,201208,20120811,107
Guangzhou,2012,201208,20120811,41
Shanghai,2012,201208,20120811,26
Chengdu,2012,201208,20120812,99
Guangzhou,2012,201208,20120812,39
Shanghai,2012,201208,20120812,31
Beijing,2012,201208,20120813,25
Chengdu,2012,201208,20120813,100
Guangzhou,2012,201208,20120813,35
Shanghai,2012,201208,20120813,43
Beijing,2012,201208,20120814,55
Chengdu,2012,201208,20120814,81
Guangzhou,2012,201208,20120814,56
Shanghai,2012,201208,20120814,32
Beijing,2012,201208,20120815,54
Chengdu,2012,201208,20120815,46
Guangzhou,2012,201208,20120815,64
Shanghai,2012,201208,20120815,25
Beijing,2012,201208,20120816,76
Chengdu,2012,201208,20120816,82
Guangzhou,2012,201208,20120816,45
Shanghai,2012,201208,20120816,4
Beijing,2012,201208,20120817,130
Chengdu,2012,201208,20120817,85
Guangzhou,2012,201208,20120817,39
Shanghai,2012,201208,20120817,5
